mirna_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-let-7d	2057.871381366492	1.5741726997697978	0.2696353857253357	5.8381532362125865	5.27826015642119e-09	2.4405900172809903e-08
hsa-let-7e	3450.9321928619133	-1.40984664310441	0.2973262189358892	-4.741750149550072	2.1187982951810336e-06	6.979570854713992e-06
hsa-let-7g	8909.449611100532	3.188154617809406	0.1836053520820873	17.364170388584462	1.541112864520314e-67	1.941802209295596e-65
hsa-let-7i	5286.326842193482	4.193394746103301	0.3193352997492892	13.131635460895003	2.1692049893001503e-39	7.809137961480543e-38
hsa-mir-101-1	6449.300093185699	-1.4481912114800848	0.3207713167546248	-4.514715424471334	6.340184460540874e-06	1.936638162492485e-05
hsa-mir-101-2	6547.154505306745	-1.390665102246818	0.3224571136520974	-4.31271336053458	1.6126313368916734e-05	4.671070079272433e-05
hsa-mir-103a-1	17993.31304759911	-2.550439449819799	0.1833176692054464	-13.912676616903145	5.305615575072946e-44	2.4309365907606963e-42
hsa-mir-103a-2	18252.27691353923	-2.469832326197149	0.184156735160214	-13.411577502437945	5.172671343865554e-41	2.0054048902371075e-39
hsa-mir-105-1	46.81726700505164	-5.346995032816156	0.9355221047730934	-5.71551971410985	1.093692401266764e-08	4.8352716687583255e-08
hsa-mir-105-2	48.169108245735615	-5.314924231288394	0.9118612403884648	-5.828654619670169	5.587601120882472e-09	2.5370729413736627e-08
hsa-mir-106a	77.00214428473684	1.6429985329152093	0.3266017548360989	5.030586972013447	4.889805109325955e-07	1.7858418660146964e-06
hsa-mir-106b	1156.2731333489255	2.068514322501774	0.3574672708653449	5.786583810860175	7.18322551779123e-09	3.2324514830060535e-08
hsa-mir-107	783.2204670826611	2.0036759323406046	0.2792217074880168	7.175931808334046	7.181634605096141e-13	4.826058454624607e-12
hsa-mir-10a	1229.5833203896875	4.070301441716164	0.7983104128246932	5.098645058773637	3.4209332534104337e-07	1.2677576174403371e-06
hsa-mir-10b	7776.371894350232	6.366310273346637	0.518179164180625	12.285924856537637	1.0780502187642944e-34	3.19610182504238e-33
hsa-mir-1224	35.38330331065358	-7.021451006851685	0.9079004308554288	-7.733723620150763	1.0444565501566691e-14	8.225095332483769e-14
hsa-mir-1228	10.37938871424926	1.796009343532548	0.5473860138336392	3.281065460467517	0.0010341573983231	0.0021627192064518
hsa-mir-1229	2.8210868524676105	-3.9937996259795576	0.9182064458061552	-4.3495660961878055	1.36407166060014e-05	4.020421736505676e-05
hsa-mir-124-1	265.8749790844247	-2.682972835117912	0.6783453750264797	-3.955172297022265	7.647951424031584e-05	0.0002018098176812
hsa-mir-124-2	265.8283656321541	-2.6640663459282075	0.6631414533525811	-4.01734250280953	5.885814755454718e-05	0.0001594865933736
hsa-mir-124-3	267.0083352677576	-2.660383558040152	0.6694104388180069	-3.9742188107159646	7.061062697896418e-05	0.0001882950052772
hsa-mir-1243	0.9819464118464876	-2.277077121999431	1.0488307718052967	-2.171062466140289	0.029926450790519	0.0455684223945652
hsa-mir-1247	4.018247555619776	-2.578260236477398	0.6774659291289403	-3.805741551892397	0.0001413799563727	0.0003562774900594
hsa-mir-1248	3.423608082498453	2.8674482253500946	1.0754810575216314	2.666200585585322	0.0076713906460228	0.013518814285299
hsa-mir-1249	36.98596272458579	-2.6579833445121626	0.5702413163681027	-4.66115531831506	3.1443931376607195e-06	1.0030216084689893e-05
hsa-mir-1251	8.729399673432157	-5.58419708022782	0.8093469780798079	-6.8996329528238185	5.213707325422624e-12	3.1659138457987976e-11
hsa-mir-1258	5.60936004790742	-5.365015605367312	0.9389448812659366	-5.713877046897478	1.1043080098971953e-08	4.8397498868537936e-08
hsa-mir-125a	6703.847004875638	2.6017003282114524	0.2264232454215838	11.490429453774825	1.4737744214332454e-30	3.5370586114397893e-29
hsa-mir-125b-1	16512.741415850833	3.2097082274040925	0.3424228323407124	9.37352280355656	7.015116831161313e-21	1.1405222202920328e-19
hsa-mir-125b-2	16466.361695770443	3.0988953315149126	0.3396196007780637	9.124606837813207	7.199710842533008e-20	1.0995922014050412e-18
hsa-mir-1264	2.0624504909989345	-3.8717394679852455	1.0324725676727766	-3.7499683664354	0.0001768568794413	0.0004326983846527
hsa-mir-1266	1.563769454234563	-3.711597030072716	1.1178150341917856	-3.3204035699486845	0.0008988740594842	0.0019196293473732
hsa-mir-1269a	1.392910941250487	-3.951076414082041	1.248654042516704	-3.164268307752013	0.0015547339504797	0.0031754422635465
hsa-mir-127	3558.078945549048	-3.965503834564291	0.4752641670298694	-8.343788801386887	7.194743490191503e-17	7.252301438113035e-16
hsa-mir-1270	3.8861098076531553	-1.9365859828041527	0.8644643343582034	-2.2402150162064416	0.0250769672666759	0.0389908497983626
hsa-mir-1271	107.1689542495835	3.629210139858333	0.4159262601327062	8.725609531603968	2.647507100452733e-18	3.1031246014608774e-17
hsa-mir-1276	2.940998809499668	2.2040502849726047	0.8584396020084292	2.56750769630845	0.0102432515518272	0.0175598598031323
hsa-mir-1277	1.3458565628563235	-2.1721004471997296	0.870204152477228	-2.496081455157812	0.0125573762303554	0.0211669485622044
