mirna_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-let-7a-1	21787.168777866587	0.5979867836607621	0.27372019682089244	2.184664451531328	0.028913458468178964	0.04456386259315657
hsa-let-7d	2057.871381366492	1.5741726997697978	0.26963538572533574	5.8381532362125865	5.27826015642119e-09	2.4405900172809906e-08
hsa-let-7e	3450.9321928619133	-1.4098466431044099	0.2973262189358892	-4.741750149550072	2.1187982951810336e-06	6.9795708547139924e-06
hsa-let-7f-1	12090.462673916914	0.7857296812843665	0.27977864493266236	2.808397622604389	0.004978871022212566	0.00929389257479679
hsa-let-7f-2	12826.052945361993	0.8773185397172627	0.2827362387302457	3.1029575255625392	0.0019159713642387497	0.003816796709787865
hsa-let-7g	8909.449611100532	3.188154617809406	0.18360535208208734	17.364170388584462	1.541112864520314e-67	1.9418022092955956e-65
hsa-let-7i	5286.326842193482	4.193394746103301	0.3193352997492892	13.131635460895003	2.1692049893001506e-39	7.809137961480543e-38
hsa-mir-101-1	6449.300093185699	-1.4481912114800848	0.32077131675462484	-4.514715424471334	6.340184460540874e-06	1.9366381624924855e-05
hsa-mir-101-2	6547.154505306745	-1.390665102246818	0.32245711365209745	-4.3127133605345795	1.6126313368916734e-05	4.671070079272433e-05
hsa-mir-103a-1	17993.31304759911	-2.550439449819799	0.1833176692054464	-13.912676616903143	5.305615575072946e-44	2.4309365907606956e-42
hsa-mir-103a-2	18252.27691353923	-2.469832326197149	0.18415673516021402	-13.411577502437943	5.172671343865555e-41	2.0054048902371075e-39
hsa-mir-105-1	46.81726700505164	-5.346995032816156	0.9355221047730934	-5.71551971410985	1.0936924012667639e-08	4.835271668758325e-08
hsa-mir-105-2	48.169108245735615	-5.314924231288394	0.9118612403884647	-5.828654619670169	5.587601120882472e-09	2.5370729413736627e-08
hsa-mir-106a	77.00214428473684	1.6429985329152093	0.32660175483609893	5.030586972013447	4.889805109325955e-07	1.7858418660146964e-06
hsa-mir-106b	1156.2731333489255	2.068514322501774	0.35746727086534497	5.786583810860175	7.18322551779123e-09	3.2324514830060535e-08
hsa-mir-107	783.2204670826611	2.0036759323406046	0.2792217074880168	7.175931808334046	7.181634605096141e-13	4.8260584546246065e-12
hsa-mir-10a	1229.5833203896875	4.070301441716164	0.7983104128246932	5.098645058773637	3.4209332534104337e-07	1.2677576174403373e-06
hsa-mir-10b	7776.371894350232	6.366310273346637	0.518179164180625	12.285924856537635	1.0780502187642946e-34	3.19610182504238e-33
hsa-mir-1180	155.62414625467707	-0.9276736803583352	0.38822334507787704	-2.3895360547476745	0.016869667954752112	0.02742681499740343
hsa-mir-1224	35.38330331065358	-7.021451006851685	0.9079004308554289	-7.733723620150763	1.044456550156669e-14	8.225095332483768e-14
hsa-mir-1228	10.379388714249261	1.796009343532548	0.5473860138336392	3.281065460467517	0.0010341573983231953	0.002162719206451828
hsa-mir-1229	2.8210868524676105	-3.9937996259795576	0.9182064458061551	-4.3495660961878055	1.3640716606001401e-05	4.020421736505676e-05
hsa-mir-124-1	265.8749790844247	-2.6829728351179116	0.6783453750264797	-3.955172297022265	7.647951424031584e-05	0.00020180981768125228
hsa-mir-124-2	265.8283656321541	-2.6640663459282075	0.6631414533525811	-4.01734250280953	5.885814755454718e-05	0.0001594865933736117
hsa-mir-124-3	267.00833526775756	-2.6603835580401514	0.6694104388180069	-3.9742188107159646	7.061062697896418e-05	0.0001882950052772378
hsa-mir-1243	0.9819464118464875	-2.277077121999431	1.0488307718052967	-2.1710624661402895	0.029926450790519057	0.04556842239456522
hsa-mir-1247	4.018247555619776	-2.578260236477398	0.6774659291289403	-3.8057415518923965	0.00014137995637279676	0.00035627749005944783
hsa-mir-1248	3.423608082498453	2.8674482253500946	1.0754810575216314	2.666200585585322	0.007671390646022875	0.013518814285299052
hsa-mir-1249	36.98596272458579	-2.6579833445121626	0.5702413163681027	-4.66115531831506	3.1443931376607195e-06	1.0030216084689891e-05
hsa-mir-1251	8.729399673432157	-5.58419708022782	0.8093469780798079	-6.8996329528238185	5.213707325422624e-12	3.165913845798798e-11
hsa-mir-1258	5.60936004790742	-5.365015605367312	0.9389448812659366	-5.713877046897478	1.1043080098971951e-08	4.8397498868537936e-08
hsa-mir-125a	6703.847004875638	2.6017003282114524	0.22642324542158385	11.490429453774823	1.4737744214332454e-30	3.5370586114397893e-29
hsa-mir-125b-1	16512.741415850833	3.2097082274040925	0.3424228323407124	9.373522803556561	7.015116831161313e-21	1.1405222202920328e-19
hsa-mir-125b-2	16466.361695770443	3.0988953315149126	0.33961960077806375	9.124606837813209	7.199710842533008e-20	1.0995922014050412e-18
hsa-mir-126	2018.7417691534706	-0.6246390670664665	0.28615341497450236	-2.1828817493655452	0.029044519385409997	0.0446293834458739
hsa-mir-1264	2.0624504909989345	-3.8717394679852455	1.0324725676727766	-3.7499683664354	0.00017685687944138368	0.00043269838465270565
hsa-mir-1266	1.563769454234563	-3.7115970300727157	1.1178150341917856	-3.3204035699486845	0.0008988740594842793	0.0019196293473732068
hsa-mir-1269a	1.392910941250487	-3.951076414082041	1.2486540425167039	-3.164268307752013	0.0015547339504797357	0.003175442263546509
hsa-mir-127	3558.078945549048	-3.965503834564291	0.4752641670298694	-8.343788801386887	7.194743490191503e-17	7.252301438113035e-16
hsa-mir-1270	3.8861098076531553	-1.9365859828041532	0.8644643343582034	-2.2402150162064416	0.025076967266675916	0.038990849798362696
hsa-mir-1271	107.1689542495835	3.6292101398583325	0.4159262601327062	8.725609531603968	2.6475071004527326e-18	3.1031246014608774e-17
hsa-mir-1276	2.940998809499668	2.2040502849726047	0.8584396020084292	2.56750769630845	0.0102432515518272	0.017559859803132342
hsa-mir-1277	1.3458565628563237	-2.1721004471997296	0.870204152477228	-2.4960814551578117	0.012557376230355407	0.02116694856220443
hsa-mir-128-1	4428.669080699597	-1.5835889270905386	0.6206384320403197	-2.55154828534315	0.010724546246771978	0.018260713879638773
hsa-mir-128-2	3139.5244752619137	-1.841569778381586	0.6191707514419162	-2.9742518910865283	0.0029370386629868415	0.005737470876532434
hsa-mir-129-1	985.8788492530325	-4.867198778447641	1.0156050647949708	-4.792412865162528	1.6478734881213911e-06	5.464001565876192e-06
hsa-mir-129-2	1138.8698443786607	-4.5905685601694195	1.0134116730997733	-4.529816146806377	5.903503584739086e-06	1.8142474431149386e-05
hsa-mir-1292	4.546791206980766	1.5946891271932053	0.6556914911926052	2.4320723215314315	0.015012709358840848	0.02464627204187553
hsa-mir-1296	77.6775505679124	-1.6187417650012423	0.5172769755228502	-3.129352052379791	0.0017519227049654525	0.003503845409930905
hsa-mir-1298	46.79386859679582	-5.637165644351123	1.0359062286507807	-5.441772129986386	5.275312872439726e-08	2.1270061501676974e-07
hsa-mir-1307	881.7729290989029	-4.777731616358287	0.22946287147789451	-20.821371168182885	2.771408011484624e-96	4.655965459294169e-94
hsa-mir-130b	194.88019661676282	3.6928149246556674	0.4126019421585522	8.950066752804121	3.5526745358008706e-19	4.7119683316937864e-18
hsa-mir-132	1101.6679805587908	-2.4676433020094284	0.35965081764039397	-6.861219774778224	6.827502822414188e-12	4.048307555878531e-11
hsa-mir-133a-1	9.245405111296728	-2.0474716928112056	0.5095537282939716	-4.018166444716854	5.8652762018706104e-05	0.0001594865933736117
hsa-mir-134	743.6914508018313	-4.868580272494084	0.570053892900079	-8.540561398021126	1.3357129509594687e-17	1.4024985985074422e-16
hsa-mir-1343	5.298608434177421	-2.118452248500832	0.5778896547790484	-3.6658421395531047	0.00024652597059778144	0.0005855791914983305
hsa-mir-135a-1	110.24284746568681	3.8481302749862207	0.5457327738004895	7.051308735203489	1.7724273648074256e-12	1.1307637871682817e-11
hsa-mir-135a-2	178.24985479932946	4.196569060489496	0.5790106705944331	7.247826808064087	4.235116602932797e-13	2.9202730893438435e-12
hsa-mir-135b	192.07336927505682	7.884930348378691	1.1485099388420137	6.865356651879461	6.632533686380853e-12	3.979520211828512e-11
hsa-mir-136	221.1749226518285	-3.0745689947654764	0.43353508138517244	-7.0918574454044885	1.3232378378824901e-12	8.66119312068539e-12
hsa-mir-137	378.5345917967973	-3.466100852513142	0.95374474011152	-3.6342018013203994	0.00027884255352830133	0.0006536588231547157
hsa-mir-138-2	74.14495671207634	-2.250470912774124	0.8472848151094361	-2.6560973035772526	0.007905080134636294	0.01388209194375154
hsa-mir-139	2008.168828701381	-4.091957525930257	0.9004936454648789	-4.544127042471009	5.516338230544518e-06	1.7056653179106974e-05
hsa-mir-140	2518.1923232829536	-0.8963312611482429	0.1496991179913394	-5.987552052244547	2.1302277997484375e-09	1.02250934387925e-08
